(Unit: tick)
Process   Turnaround   Waiting   CPU Burst   I/O Burst
      0         7848        68           8         379
      1           21         0           2          19
      2           19         0          19           0
      3         3010        10           6        2994
      4         9548        26          58        9464
      5            4         0           3           0
      6          303        13          14         275
      7           61         0          60           0
      8          115         0         114           0
      9           34         1          33           0
     10           82         0          81           0
     11            3         1           2           0
     12         1607         1           5        1601
     13         1604       604        1000           0
     14         1052        13           0        1039
     15         1588       562         500         525
     16         1232       201         100         930
     17            4         0           3           0
     18            1         1           0           0
Average:     1480.84     79.00
Throughout: 0.20/s

